,player_name,class_name,matches_played,innings_bowled_in,balls_bowled,runs_conceded,wickets_taken,best_innings_bowling,best_match_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,ten_wkts_in_a_match
1981,307808,ODIs,31,30,1425,1140,34,5/25,5/25,33.52,4.80,41.9,1,1,0
1982,307808,T20Is,27,25,425,507,20,3/9,3/9,25.35,7.15,21.2,0,0,0
1983,307808,First-class,6,9,576,285,6,3/38,3/65,47.50,2.96,96.0,0,0,0
1984,307808,List A,76,71,3174,2337,86,5/25,5/25,27.17,4.41,36.9,1,3,0
1985,307808,T20s,43,41,719,791,33,3/9,3/9,23.96,6.60,21.7,0,0,0
1986,779973,ODIs,5,-,-,-,-,-,-,-,-,-,-,-,-
1987,779973,T20Is,6,-,-,-,-,-,-,-,-,-,-,-,-
1988,779973,First-class,5,-,-,-,-,-,-,-,-,-,-,-,-
1989,779973,List A,10,-,-,-,-,-,-,-,-,-,-,-,-
1990,779973,T20s,6,-,-,-,-,-,-,-,-,-,-,-,-
1991,43121,ODIs,40,7,117,134,4,3/61,3/61,33.50,6.87,29.2,0,0,0
1992,43121,T20Is,32,-,-,-,-,-,-,-,-,-,-,-,-
1993,43121,First-class,18,,6,6,0,-,-,-,6.00,-,0,0,0
1994,43121,List A,102,,311,336,15,4/31,4/31,22.40,6.48,20.7,1,0,0
1995,43121,T20s,48,-,-,-,-,-,-,-,-,-,-,-,-
1996,937673,ODIs,4,-,-,-,-,-,-,-,-,-,-,-,-
1997,937673,T20Is,1,-,-,-,-,-,-,-,-,-,-,-,-
1998,937673,First-class,3,1,36,28,0,-,-,-,4.66,-,0,0,0
1999,937673,List A,6,-,-,-,-,-,-,-,-,-,-,-,-
2000,937673,T20s,1,-,-,-,-,-,-,-,-,-,-,-,-
2001,873769,ODIs,2,2,72,58,0,-,-,-,4.83,-,0,0,0
2002,873769,T20Is,7,7,138,158,10,3/33,3/33,15.80,6.86,13.8,0,0,0
2003,873769,List A,2,2,72,58,0,-,-,-,4.83,-,0,0,0
2004,873769,T20s,15,15,300,358,20,3/33,3/33,17.90,7.16,15.0,0,0,0
2005,384525,ODIs,15,15,649,617,28,6/34,6/34,22.03,5.70,23.1,0,1,0
2006,384525,T20Is,9,9,171,205,11,2/17,2/17,18.63,7.19,15.5,0,0,0
2007,384525,First-class,30,55,5541,3030,113,7/86,12/117,26.81,3.28,49.0,4,6,1
2008,384525,List A,33,33,1443,1345,50,6/34,6/34,26.90,5.59,28.8,1,1,0
2009,384525,T20s,16,16,315,415,17,2/17,2/17,24.41,7.90,18.5,0,0,0
2010,526441,ODIs,7,7,370,404,13,4/19,4/19,31.07,6.55,28.4,2,0,0
2011,526441,First-class,8,13,991,532,12,3/33,3/64,44.33,3.22,82.5,0,0,0
2012,526441,List A,19,19,867,900,23,4/19,4/19,39.13,6.22,37.6,2,0,0
2013,526441,T20s,18,16,330,406,18,4/22,4/22,22.55,7.38,18.3,1,0,0
2014,44014,ODIs,8,2,30,20,0,-,-,-,4.00,-,0,0,0
2015,44014,T20Is,4,1,6,13,0,-,-,-,13.00,-,0,0,0
2016,44014,First-class,19,,565,337,7,2/92,,48.14,3.57,80.7,0,0,0
2017,44014,List A,24,5,60,60,0,-,-,-,6.00,-,0,0,0
2018,44014,T20s,16,1,6,13,0,-,-,-,13.00,-,0,0,0
2019,303423,Tests,2,1,6,8,0,-,-,-,8.00,-,0,0,0
2020,303423,ODIs,62,3,60,68,2,1/26,1/26,34.00,6.80,30.0,0,0,0
2021,303423,T20Is,22,-,-,-,-,-,-,-,-,-,-,-,-
2022,303423,First-class,27,16,609,245,13,4/23,5/23,18.84,2.41,46.8,1,0,0
2023,303423,List A,89,6,96,112,2,1/26,1/26,56.00,7.00,48.0,0,0,0
2024,303423,T20s,49,-,-,-,-,-,-,-,-,-,-,-,-
2025,380957,Tests,1,2,143,118,3,2/94,3/118,39.33,4.95,47.6,0,0,0
2026,380957,ODIs,4,4,186,151,5,3/32,3/32,30.20,4.87,37.2,0,0,0
2027,380957,First-class,8,13,1441,872,30,7/77,7/90,29.06,3.63,48.0,0,3,0
2028,380957,List A,15,15,690,576,14,3/32,3/32,41.14,5.00,49.2,0,0,0
2029,380957,T20s,6,5,66,80,5,3/12,3/12,16.00,7.27,13.2,0,0,0
2030,524845,ODIs,25,24,1238,1356,34,3/33,3/33,39.88,6.57,36.4,0,0,0
2031,524845,T20Is,12,12,251,416,15,4/35,4/35,27.73,9.94,16.7,1,0,0
2032,524845,First-class,15,25,2063,1299,47,5/24,5/64,27.63,3.77,43.8,1,2,0
2033,524845,List A,52,50,2384,2562,73,5/42,5/42,35.09,6.44,32.6,0,1,0
2034,524845,T20s,30,30,599,882,38,4/11,4/11,23.21,8.83,15.7,2,0,0
2035,348034,Tests,1,2,240,121,2,2/63,2/121,60.50,3.02,120.0,0,0,0
2036,348034,ODIs,87,85,4232,3327,89,4/24,4/24,37.38,4.71,47.5,4,0,0
2037,348034,T20Is,60,56,1126,1270,63,4/20,4/20,20.15,6.76,17.8,1,0,0
2038,348034,First-class,57,96,11309,5345,181,6/27,9/71,29.53,2.83,62.4,5,8,0
2039,348034,List A,129,124,5892,4643,137,5/21,5/21,33.89,4.72,43.0,6,1,0
2040,348034,T20s,121,113,2237,2591,124,4/20,4/20,20.89,6.94,18.0,1,0,0
2041,303508,ODIs,1,1,42,33,2,2/33,2/33,16.50,4.71,21.0,0,0,0
2042,303508,T20Is,6,6,84,124,4,2/15,2/15,31.00,8.85,21.0,0,0,0
2043,303508,First-class,9,11,696,423,13,4/62,4/62,32.53,3.64,53.5,1,0,0
2044,303508,List A,27,21,813,754,29,5/44,5/44,26.00,5.56,28.0,2,1,0
2045,303508,T20s,24,24,452,598,40,5/8,5/8,14.95,7.93,11.3,1,1,0
2046,24249,Tests,1,-,-,-,-,-,-,-,-,-,-,-,-
2047,24249,ODIs,78,-,-,-,-,-,-,-,-,-,-,-,-
2048,24249,T20Is,18,-,-,-,-,-,-,-,-,-,-,-,-
2049,24249,First-class,255,,1311,1033,11,2/34,,93.90,4.72,119.1,,0,0
2050,24249,List A,311,,264,309,6,2/10,2/10,51.50,7.02,44.0,0,0,0
2051,24249,T20s,91,1,6,12,0,-,-,-,12.00,-,0,0,0
2052,571707,Tests,1,2,156,103,0,-,-,-,3.96,-,0,0,0
2053,571707,T20Is,6,4,80,125,9,3/19,3/19,13.88,9.37,8.8,0,0,0
