,team_1_name,team_2_name,team_1_score,team_2_score,win_commnet,team_1_fall_of_wickets,team_2_fall_of_wickets,series_name,Toss_details,Match_number,Season
1366,England,West Indies,217,218/8 (48.5/50 ov),West Indies won by 2 wickets (with 7 balls remaining),"Fall of wickets: 1-12 (Vikram Solanki, 4.2 ov), 2-43 (Michael Vaughan, 10.3 ov), 3-84 (Andrew Strauss, 19.6 ov), 4-93 (Andrew Flintoff, 22.1 ov), 5-123 (Paul Collingwood, 32.3 ov), 6-148 (Geraint Jones, 38.2 ov), 7-211 (Marcus Trescothick, 47.4 ov), 8-212 (Ashley Giles, 48.3 ov), 9-214 (Darren Gough, 49.1 ov), 10-217 (Steve Harmison, 49.4 ov)","Fall of wickets: 1-19 (Wavell Hinds, 3.5 ov), 2-35 (Ramnaresh Sarwan, 8.1 ov), 3-49 (Chris Gayle, 9.4 ov), 4-72 (Brian Lara, 16.3 ov), 5-80 (Dwayne Bravo, 18.3 ov), 6-114 (Ryan Hinds, 24.5 ov), 7-135 (Ricardo Powell, 29.2 ov), 8-147 (Shivnarine Chanderpaul, 33.4 ov)",ICC Champions Trophy (ICC KnockOut),"West Indies , elected to field first",ODI no. 2182,2004
1367,Pakistan,Zimbabwe,292/7,148 (38.3/50 ov),Pakistan won by 144 runs,"Fall of wickets: 1-0 (Yasir Hameed, 0.1 ov), 2-2 (Shoaib Malik, 1.4 ov), 3-6 (Mohammad Yousuf, 3.5 ov), 4-36 (Bazid Khan, 12.2 ov), 5-131 (Inzamam-ul-Haq, 35.1 ov), 6-146 (Moin Khan, 39.5 ov), 7-253 (Shahid Afridi, 46.5 ov)","Fall of wickets: 1-4 (Stuart Matsikenyeri, 3.2 ov), 2-8 (Brendan Taylor, 4.4 ov), 3-64 (Dion Ebrahim, 19.3 ov), 4-81 (Mark Vermeulen, 22.2 ov), 5-96 (Tatenda Taibu, 26.1 ov), 6-117 (Vusi Sibanda, 29.6 ov), 7-122 (Elton Chigumbura, 30.3 ov), 8-144 (Mluleki Nkala, 35.4 ov), 9-145 (Tinashe Panyangara, 37.2 ov), 10-148 (Douglas Hondo, 38.3 ov)",Paktel Cup,"Pakistan , elected to bat first",ODI no. 2183,2004/05
1368,Zimbabwe,Pakistan,252/4,258/7 (48.1/50 ov),Pakistan won by 3 wickets (with 11 balls remaining),"Fall of wickets: 1-87 (Stuart Matsikenyeri, 21.6 ov), 2-87 (Vusi Sibanda, 22.1 ov), 3-159 (Brendan Taylor, 39.1 ov), 4-161 (Mark Vermeulen, 39.4 ov)","Fall of wickets: 1-1 (Yasir Hameed, 0.4 ov), 2-25 (Bazid Khan, 4.2 ov), 3-48 (Salman Butt, 8.4 ov), 4-89 (Misbah-ul-Haq, 19.6 ov), 5-203 (Shoaib Malik, 41.2 ov), 6-240 (Mohammad Yousuf, 46.1 ov), 7-252 (Younis Khan, 47.6 ov)",Paktel Cup,"Pakistan , elected to field first",ODI no. 2184,2004/05
1369,Sri Lanka,Pakistan,232/9,233/2 (48.4/50 ov),Pakistan won by 8 wickets (with 8 balls remaining),"Fall of wickets: 1-4 (Avishka Gunawardene, 1.1 ov), 2-113 (Sanath Jayasuriya, 24.4 ov), 3-129 (Marvan Atapattu, 28.6 ov), 4-165 (Mahela Jayawardene, 36.2 ov), 5-177 (Tillakaratne Dilshan, 40.2 ov), 6-194 (Kumar Sangakkara, 44.4 ov), 7-196 (Upul Chandana, 45.1 ov), 8-222 (Farveez Maharoof, 48.4 ov), 9-232 (Chaminda Vaas, 49.6 ov)","Fall of wickets: 1-33 (Yasir Hameed, 10.6 ov), 2-33 (Salman Butt, 11.2 ov)",Paktel Cup,"Sri Lanka , elected to bat first",ODI no. 2185,2004/05
1370,Zimbabwe,Sri Lanka,104,108/3 (18.1/50 ov),Sri Lanka won by 7 wickets (with 191 balls remaining),"Fall of wickets: 1-10 (Brendan Taylor, 3.6 ov), 2-54 (Stuart Matsikenyeri, 12.1 ov), 3-55 (Vusi Sibanda, 14.2 ov), 4-72 (Mark Vermeulen, 19.1 ov), 5-72 (Tatenda Taibu, 21.1 ov), 6-73 (Elton Chigumbura, 22.1 ov), 7-76 (Mluleki Nkala, 23.6 ov), 8-84 (Tinashe Panyangara, 26.6 ov), 9-94 (Prosper Utseya, 29.5 ov), 10-104 (Ed Rainsford, 32.6 ov)","Fall of wickets: 1-49 (Saman Jayantha, 8.4 ov), 2-70 (Sanath Jayasuriya, 10.4 ov), 3-96 (Upul Chandana, 15.3 ov)",Paktel Cup,"Sri Lanka , elected to field first",ODI no. 2186,2004/05
1371,Sri Lanka,Pakistan,293/6,297/4 (48.5/50 ov),Pakistan won by 6 wickets (with 7 balls remaining),"Fall of wickets: 1-18 (Saman Jayantha, 5.6 ov), 2-26 (Sanath Jayasuriya, 7.1 ov), 3-172 (Kumar Sangakkara, 33.3 ov), 4-233 (Mahela Jayawardene, 43.1 ov), 5-244 (Marvan Atapattu, 44.6 ov), 6-270 (Thilina Kandamby, 47.4 ov)","Fall of wickets: 1-99 (Yasir Hameed, 20.6 ov), 2-139 (Salman Butt, 29.3 ov), 3-210 (Shoaib Malik, 38.6 ov), 4-285 (Mohammad Yousuf, 48.1 ov)",Paktel Cup,"Pakistan , elected to field first",ODI no. 2187,2004/05
1372,Sri Lanka,Pakistan,287/7,168 (38/50 ov),Sri Lanka won by 119 runs,"Fall of wickets: 1-0 (Saman Jayantha, 0.6 ov), 2-35 (Sanath Jayasuriya, 9.5 ov), 3-141 (Marvan Atapattu, 29.1 ov), 4-181 (Kumar Sangakkara, 34.6 ov), 5-244 (Tillakaratne Dilshan, 45.1 ov), 6-257 (Upul Chandana, 46.5 ov), 7-275 (Mahela Jayawardene, 49.2 ov)","Fall of wickets: 1-40 (Yasir Hameed, 9.1 ov), 2-85 (Salman Butt, 18.3 ov), 3-91 (Inzamam-ul-Haq, 19.6 ov), 4-108 (Mohammad Yousuf, 23.1 ov), 5-124 (Shoaib Malik, 26.6 ov), 6-134 (Abdul Razzaq, 29.5 ov), 7-149 (Shahid Afridi, 31.2 ov), 8-150 (Moin Khan, 32.1 ov), 9-168 (Mohammad Sami, 37.2 ov), 10-168 (Shoaib Akhtar, 37.6 ov)",Paktel Cup,"Pakistan , elected to field first",ODI no. 2188,2004/05
1373,New Zealand,Bangladesh,224,86 (31.5/50 ov),New Zealand won by 138 runs,"Fall of wickets: 1-11 (Peter Fulton, 1.4 ov), 2-49 (Nathan Astle, 9.6 ov), 3-50 (Hamish Marshall, 10.5 ov), 4-77 (Craig McMillan, 17.1 ov), 5-94 (Brendon McCullum, 23.2 ov), 6-143 (Scott Styris, 36.2 ov), 7-168 (Chris Harris, 41.5 ov), 8-191 (Daniel Vettori, 46.3 ov), 9-224 (Andre Adams, 49.1 ov), 10-224 (Chris Cairns, 49.2 ov)","Fall of wickets: 1-4 (Aftab Ahmed, 0.3 ov), 2-10 (Javed Omar, 2.6 ov), 3-23 (Rajin Saleh, 6.1 ov), 4-27 (Mohammad Ashraful, 8.5 ov), 5-45 (Habibul Bashar, 17.2 ov), 6-51 (Khaled Mashud, 19.2 ov), 7-68 (Manzarul Islam, 25.1 ov), 8-79 (Mohammad Rafique, 28.4 ov), 9-83 (Khaled Mahmud, 29.4 ov), 10-86 (Tapash Baisya, 31.5 ov)",New Zealand tour of Bangladesh 2004/05,"New Zealand , elected to bat first",ODI no. 2189,2004/05
1374,Bangladesh,New Zealand,146,148/7 (44.4/50 ov),New Zealand won by 3 wickets (with 32 balls remaining),"Fall of wickets: 1-1 (Nafees Iqbal, 0.2 ov), 2-5 (Aftab Ahmed, 0.5 ov), 3-22 (Habibul Bashar, 3.6 ov), 4-25 (Javed Omar, 5.1 ov), 5-51 (Mohammad Ashraful, 9.5 ov), 6-108 (Khaled Mashud, 29.4 ov), 7-125 (Rajin Saleh, 33.3 ov), 8-135 (Mohammad Rafique, 40.5 ov), 9-139 (Manzarul Islam, 41.4 ov), 10-146 (Tapash Baisya, 43.4 ov)","Fall of wickets: 1-74 (Nathan Astle, 19.1 ov), 2-76 (Hamish Marshall, 19.4 ov), 3-102 (Mathew Sinclair, 24.6 ov), 4-114 (Scott Styris, 29.1 ov), 5-125 (Craig McMillan, 33.4 ov), 6-125 (Brendon McCullum, 33.6 ov), 7-133 (Chris Harris, 37.4 ov)",New Zealand tour of Bangladesh 2004/05,"Bangladesh , elected to bat first",ODI no. 2190,2004/05
1375,New Zealand,Bangladesh,250/7,167/7 (50 ov),New Zealand won by 83 runs,"Fall of wickets: 1-72 (Nathan Astle, 18.5 ov), 2-99 (Chris Harris, 23.5 ov), 3-102 (Hamish Marshall, 24.5 ov), 4-105 (Mathew Sinclair, 26.1 ov), 5-191 (Craig McMillan, 44.4 ov), 6-207 (Scott Styris, 46.5 ov), 7-250 (Chris Cairns, 49.6 ov)","Fall of wickets: 1-15 (Javed Omar, 1.6 ov), 2-42 (Mohammad Rafique, 12.1 ov), 3-48 (Rajin Saleh, 15.4 ov), 4-86 (Nafees Iqbal, 26.1 ov), 5-96 (Mohammad Ashraful, 30.1 ov), 6-109 (Aftab Ahmed, 34.1 ov), 7-138 (Alok Kapali, 42.6 ov)",New Zealand tour of Bangladesh 2004/05,"New Zealand , elected to bat first",ODI no. 2191,2004/05
1376,India,Pakistan,292/6,293/4 (49/50 ov),Pakistan won by 6 wickets (with 6 balls remaining),"Fall of wickets: 1-29 (Sachin Tendulkar, 5.3 ov), 2-111 (VVS Laxman, 19.2 ov), 3-124 (Virender Sehwag, 21.5 ov), 4-163 (Rahul Dravid, 32.4 ov), 5-237 (Sourav Ganguly, 44.2 ov), 6-290 (Yuvraj Singh, 49.5 ov)","Fall of wickets: 1-15 (Younis Khan, 3.2 ov), 2-128 (Shoaib Malik, 23.5 ov), 2-155* (Salman Butt, retired not out ), 3-186 (Mohammad Yousuf, 35.5 ov), 4-284 (Inzamam-ul-Haq, 48.2 ov)",Pakistan tour of India 2004/05,"India , elected to bat first",ODI no. 2192,2004/05
1377,Zimbabwe,England,195,197/5 (47.4/50 ov),England won by 5 wickets (with 14 balls remaining),"Fall of wickets: 1-36 (Stuart Matsikenyeri, 8.1 ov), 2-45 (Brendan Taylor, 10.5 ov), 3-56 (Vusi Sibanda, 16.1 ov), 4-80 (Mark Vermeulen, 25.2 ov), 5-90 (Tatenda Taibu, 29.1 ov), 6-172 (Dion Ebrahim, 42.4 ov), 7-172 (Elton Chigumbura, 43.2 ov), 8-175 (Tinashe Panyangara, 44.6 ov), 9-194 (Douglas Hondo, 48.6 ov), 10-195 (Chris Mpofu, 49.3 ov)","Fall of wickets: 1-21 (Vikram Solanki, 6.4 ov), 2-132 (Michael Vaughan, 29.3 ov), 3-146 (Andrew Strauss, 33.1 ov), 4-170 (Ian Bell, 40.3 ov), 5-175 (Paul Collingwood, 41.2 ov)",England tour of Zimbabwe 2004/05,"England , elected to field first",ODI no. 2193,2004/05
1378,England,Zimbabwe,263/6,102 (36/50 ov),England won by 161 runs,"Fall of wickets: 1-13 (Ian Bell, 4.6 ov), 2-30 (Michael Vaughan, 10.1 ov), 3-94 (Vikram Solanki, 24.6 ov), 4-103 (Andrew Strauss, 28.2 ov), 5-121 (Paul Collingwood, 34.1 ov), 6-241 (Geraint Jones, 47.3 ov)","Fall of wickets: 1-40 (Stuart Matsikenyeri, 9.4 ov), 2-42 (Brendan Taylor, 10.1 ov), 3-42 (Mark Vermeulen, 10.3 ov), 4-53 (Hamilton Masakadza, 12.5 ov), 5-78 (Dion Ebrahim, 19.4 ov), 6-89 (Elton Chigumbura, 23.1 ov), 7-97 (Tatenda Taibu, 26.1 ov), 8-97 (Tinashe Panyangara, 26.6 ov), 9-97 (Gavin Ewing, 27.2 ov), 10-102 (Chris Mpofu, 35.6 ov)",England tour of Zimbabwe 2004/05,"England , elected to bat first",ODI no. 2194,2004/05
1379,Zimbabwe,England,238/7,239/2 (43.1/50 ov),England won by 8 wickets (with 41 balls remaining),"Fall of wickets: 1-45 (Brendan Taylor, 15.1 ov), 2-143 (Stuart Matsikenyeri, 35.4 ov), 3-164 (Mark Vermeulen, 39.1 ov), 4-165 (Elton Chigumbura, 39.2 ov), 5-203 (Hamilton Masakadza, 45.4 ov), 6-227 (Dion Ebrahim, 48.5 ov), 7-234 (Tatenda Taibu, 49.5 ov)","Fall of wickets: 1-138 (Ian Bell, 19.3 ov), 2-191 (Vikram Solanki, 33.2 ov)",England tour of Zimbabwe 2004/05,"Zimbabwe , elected to bat first",ODI no. 2195,2004/05
1380,Australia,New Zealand,246/9,247/6 (49.4/50 ov),New Zealand won by 4 wickets (with 2 balls remaining),"Fall of wickets: 1-64 (Matthew Hayden, 8.5 ov), 2-113 (Adam Gilchrist, 19.1 ov), 3-121 (Ricky Ponting, 20.6 ov), 4-123 (Damien Martyn, 22.1 ov), 5-123 (Andrew Symonds, 22.4 ov), 6-194 (Michael Clarke, 39.4 ov), 7-198 (Shane Watson, 41.1 ov), 8-220 (Darren Lehmann, 44.6 ov), 9-236 (Brett Lee, 48.2 ov)","Fall of wickets: 1-0 (Stephen Fleming, 0.2 ov), 2-128 (Mathew Sinclair, 31.1 ov), 3-131 (Nathan Astle, 32.1 ov), 4-140 (Scott Styris, 34.3 ov), 5-189 (Jacob Oram, 43.3 ov), 6-208 (Chris Cairns, 46.1 ov)",New Zealand tour of Australia 2004/05,"New Zealand , elected to field first",ODI no. 2196,2004/05
1381,England,Zimbabwe,261/6,187 (48.4/50 ov),England won by 74 runs,"Fall of wickets: 1-55 (Ian Bell, 13.4 ov), 2-71 (Matt Prior, 17.2 ov), 3-93 (Andrew Strauss, 21.3 ov), 4-94 (Kevin Pietersen, 21.5 ov), 5-104 (Paul Collingwood, 26.1 ov), 6-254 (Geraint Jones, 49.2 ov)","Fall of wickets: 1-8 (Brendan Taylor, 3.2 ov), 2-8 (Dion Ebrahim, 3.4 ov), 3-22 (Stuart Matsikenyeri, 7.3 ov), 4-43 (Mark Vermeulen, 13.1 ov), 5-118 (Tatenda Taibu, 31.4 ov), 6-129 (Hamilton Masakadza, 35.2 ov), 7-149 (Mluleki Nkala, 39.6 ov), 8-168 (Elton Chigumbura, 42.3 ov), 9-187 (Tinashe Panyangara, 48.2 ov), 10-187 (Ed Rainsford, 48.4 ov)",England tour of Zimbabwe 2004/05,"England , elected to bat first",ODI no. 2197,2004/05
1382,Australia,New Zealand,261/7,244 (47.1/50 ov),Australia won by 17 runs,"Fall of wickets: 1-86 (Adam Gilchrist, 11.6 ov), 2-140 (Ricky Ponting, 22.5 ov), 3-147 (Matthew Hayden, 24.3 ov), 4-148 (Damien Martyn, 24.4 ov), 5-148 (Andrew Symonds, 25.2 ov), 6-161 (Michael Clarke, 30.4 ov), 7-235 (Darren Lehmann, 47.5 ov)","Fall of wickets: 1-27 (Nathan Astle, 5.4 ov), 2-63 (Mathew Sinclair, 13.5 ov), 3-68 (Scott Styris, 14.5 ov), 4-78 (Stephen Fleming, 19.1 ov), 5-84 (Jacob Oram, 21.2 ov), 6-86 (Hamish Marshall, 22.1 ov), 7-154 (Chris Cairns, 34.1 ov), 8-166 (Brendon McCullum, 37.1 ov), 9-236 (Daniel Vettori, 45.4 ov), 10-244 (Chris Harris, 47.1 ov)",New Zealand tour of Australia 2004/05,"Australia , elected to bat first",ODI no. 2198,2004/05
1383,India,Bangladesh,245/8,234/8 (50 ov),India won by 11 runs,"Fall of wickets: 1-0 (Sourav Ganguly, 0.2 ov), 2-37 (Sachin Tendulkar, 9.6 ov), 3-45 (Yuvraj Singh, 12.1 ov), 4-173 (Rahul Dravid, 40.1 ov), 5-180 (Sridharan Sriram, 41.4 ov), 6-180 (MS Dhoni, 41.5 ov), 7-203 (Mohammad Kaif, 46.2 ov), 8-232 (Ajit Agarkar, 49.1 ov)","Fall of wickets: 1-11 (Mohammad Rafique, 2.5 ov), 2-40 (Nafees Iqbal, 13.2 ov), 3-44 (Mohammad Ashraful, 14.6 ov), 4-108 (Aftab Ahmed, 28.4 ov), 5-143 (Rajin Saleh, 38.1 ov), 6-156 (Habibul Bashar, 40.3 ov), 7-160 (Mushfiqur Rahman, 41.6 ov), 8-200 (Khaled Mahmud, 47.3 ov)",India tour of Bangladesh 2004/05,"Bangladesh , elected to field first",ODI no. 2199,2004/05
1384,Sri Lanka,New Zealand,141,144/3 (33/50 ov),New Zealand won by 7 wickets (with 102 balls remaining),"Fall of wickets: 1-1 (Saman Jayantha, 0.3 ov), 2-17 (Marvan Atapattu, 4.4 ov), 3-18 (Kumar Sangakkara, 5.3 ov), 4-35 (Mahela Jayawardene, 12.3 ov), 5-70 (Sanath Jayasuriya, 21.5 ov), 6-114 (Upul Chandana, 34.2 ov), 7-116 (Chaminda Vaas, 35.5 ov), 8-120 (Farveez Maharoof, 37.2 ov), 9-134 (Tillakaratne Dilshan, 39.5 ov), 10-141 (Dilhara Fernando, 41.6 ov)","Fall of wickets: 1-7 (Nathan Astle, 0.6 ov), 2-64 (Mathew Sinclair, 16.4 ov), 3-101 (Scott Styris, 23.3 ov)",Sri Lanka tour of New Zealand 2004/05,"New Zealand , elected to field first",ODI no. 2200,2004/05
1385,Bangladesh,India,229/9,214 (47.5/50 ov),Bangladesh won by 15 runs,"Fall of wickets: 1-1 (Mohammad Rafique, 1.2 ov), 2-26 (Nafees Iqbal, 6.5 ov), 3-37 (Habibul Bashar, 8.4 ov), 4-81 (Mohammad Ashraful, 18.2 ov), 5-88 (Rajin Saleh, 20.5 ov), 6-132 (Khaled Mashud, 29.5 ov), 7-168 (Aftab Ahmed, 38.4 ov), 8-187 (Khaled Mahmud, 43.6 ov), 9-226 (Tapash Baisya, 49.4 ov)","Fall of wickets: 1-0 (Virender Sehwag, 0.3 ov), 2-5 (Yuvraj Singh, 3.2 ov), 3-51 (Sourav Ganguly, 17.1 ov), 4-114 (Sridharan Sriram, 28.5 ov), 5-131 (Dinesh Mongia, 33.2 ov), 6-155 (MS Dhoni, 37.2 ov), 7-170 (Mohammad Kaif, 40.1 ov), 8-172 (Ajit Agarkar, 40.5 ov), 9-204 (Zaheer Khan, 45.6 ov), 10-214 (Murali Kartik, 47.5 ov)",India tour of Bangladesh 2004/05,"Bangladesh , elected to bat first",ODI no. 2201,2004/05
1386,India,Bangladesh,348/5,257/9 (50 ov),India won by 91 runs,"Fall of wickets: 1-106 (Sachin Tendulkar, 13.1 ov), 2-125 (Virender Sehwag, 19.1 ov), 3-223 (Sourav Ganguly, 38.3 ov), 4-247 (Rahul Dravid, 41.4 ov), 5-340 (Yuvraj Singh, 49.3 ov)","Fall of wickets: 1-31 (Nafees Iqbal, 6.6 ov), 2-32 (Mohammad Rafique, 7.5 ov), 3-41 (Habibul Bashar, 10.5 ov), 4-102 (Mohammad Ashraful, 22.1 ov), 5-138 (Aftab Ahmed, 29.3 ov), 6-163 (Rajin Saleh, 33.5 ov), 7-164 (Khaled Mashud, 35.2 ov), 8-198 (Khaled Mahmud, 45.4 ov), 9-246 (Mashrafe Mortaza, 49.4 ov)",India tour of Bangladesh 2004/05,"India , elected to bat first",ODI no. 2202,2004/05
1387,ICC World XI,Asia XI,344/8,232 (39.5/50 ov),ICC World XI won by 112 runs,"Fall of wickets: 1-1 (Chris Gayle, 1.4 ov), 2-50 (Adam Gilchrist, 9.2 ov), 3-172 (Brian Lara, 30.1 ov), 4-263 (Ricky Ponting, 38.6 ov), 5-264 (Glenn McGrath, 39.5 ov), 6-286 (Chris Cairns, 41.6 ov), 7-292 (Matthew Hayden, 43.4 ov), 8-337 (Stephen Fleming, 49.2 ov)","Fall of wickets: 1-59 (Sanath Jayasuriya, 9.3 ov), 2-76 (Virender Sehwag, 12.2 ov), 3-107 (Sourav Ganguly, 19.5 ov), 4-114 (Mohammad Yousuf, 20.5 ov), 5-156 (Kumar Sangakkara, 28.3 ov), 6-173 (Abdul Razzaq, 31.2 ov), 7-197 (Chaminda Vaas, 35.4 ov), 8-199 (Zaheer Khan, 35.6 ov), 9-226 (Anil Kumble, 38.4 ov), 10-232 (Muttiah Muralitharan, 39.5 ov)",ICC World XI tour of Australia 2004/05,"ICC World XI , elected to bat first",ODI no. 2203,2004/05
1388,Australia,West Indies,301/4,185 (46.2/50 ov),Australia won by 116 runs,"Fall of wickets: 1-4 (Adam Gilchrist, 2.1 ov), 2-119 (Michael Clarke, 21.6 ov), 3-207 (Ricky Ponting, 39.2 ov), 4-254 (Andrew Symonds, 45.6 ov)","Fall of wickets: 1-0 (Chris Gayle, 0.3 ov), 2-17 (Wavell Hinds, 3.4 ov), 3-21 (Ramnaresh Sarwan, 4.1 ov), 4-33 (Xavier Marshall, 6.6 ov), 5-131 (Brian Lara, 28.1 ov), 6-136 (Shivnarine Chanderpaul, 30.5 ov), 7-143 (Marlon Samuels, 34.3 ov), 8-144 (Dwayne Bravo, 36.2 ov), 9-167 (Ian Bradshaw, 41.1 ov), 10-185 (Mervyn Dillon, 46.2 ov)",Australian Tri Series (CB Series),"Australia , elected to bat first",ODI no. 2204,2004/05
1389,Pakistan,Australia,272/7,"253/6 (43/45 ov, target 253)",Australia won by 4 wickets (with 12 balls remaining) (D/L method),"Fall of wickets: 1-15 (Kamran Akmal, 2.5 ov), 2-30 (Mohammad Hafeez, 7.1 ov), 3-83 (Shoaib Malik, 20.2 ov), 4-117 (Salman Butt, 27.6 ov), 5-191 (Mohammad Yousuf, 41.5 ov), 6-204 (Inzamam-ul-Haq, 43.5 ov), 7-251 (Abdul Razzaq, 48.3 ov)","Fall of wickets: 1-107 (Simon Katich, 16.6 ov), 2-118 (Ricky Ponting, 19.5 ov), 3-141 (Damien Martyn, 24.2 ov), 4-184 (Michael Clarke, 31.1 ov), 5-186 (Andrew Symonds, 32.5 ov), 6-243 (Brad Haddin, 41.6 ov)",Australian Tri Series (CB Series),"Pakistan , elected to bat first",ODI no. 2205,2004/05
1390,West Indies,Pakistan,273/5,274/4 (47/50 ov),Pakistan won by 6 wickets (with 18 balls remaining),"Fall of wickets: 1-86 (Wavell Hinds, 18.4 ov), 2-149 (Chris Gayle, 33.3 ov), 3-209 (Brian Lara, 42.1 ov), 4-211 (Ricardo Powell, 42.3 ov), 5-273 (Ramnaresh Sarwan, 49.6 ov)","Fall of wickets: 1-28 (Salman Butt, 5.3 ov), 2-36 (Mohammad Hafeez, 7.6 ov), 3-159 (Shoaib Malik, 28.1 ov), 4-239 (Kamran Akmal, 40.1 ov)",Australian Tri Series (CB Series),"Pakistan , elected to field first",ODI no. 2206,2004/05
1391,Zimbabwe,Bangladesh,251/8,229 (48.1/50 ov),Zimbabwe won by 22 runs,"Fall of wickets: 1-3 (Barney Rogers, 1.1 ov), 2-14 (Dion Ebrahim, 2.4 ov), 3-84 (Stuart Matsikenyeri, 15.6 ov), 4-107 (Hamilton Masakadza, 23.4 ov), 5-172 (Tatenda Taibu, 38.1 ov), 6-188 (Brendan Taylor, 41.3 ov), 7-226 (Elton Chigumbura, 46.6 ov), 8-236 (Prosper Utseya, 48.3 ov)","Fall of wickets: 1-34 (Nafees Iqbal, 6.3 ov), 2-70 (Rajin Saleh, 13.6 ov), 3-119 (Habibul Bashar, 26.3 ov), 4-128 (Aftab Ahmed, 29.6 ov), 5-137 (Alok Kapali, 33.1 ov), 6-143 (Khaled Mashud, 35.4 ov), 7-165 (Mohammad Ashraful, 40.5 ov), 8-207 (Khaled Mahmud, 45.3 ov), 9-214 (Abdur Razzak, 46.1 ov), 10-229 (Nazmul Hossain, 48.1 ov)",Zimbabwe tour of Bangladesh 2004/05,"Zimbabwe , elected to bat first",ODI no. 2207,2004/05
1392,Pakistan,Australia,163,167/1 (36.2/50 ov),Australia won by 9 wickets (with 82 balls remaining),"Fall of wickets: 1-2 (Salman Butt, 2.2 ov), 2-2 (Kamran Akmal, 3.1 ov), 3-38 (Shoaib Malik, 12.1 ov), 4-44 (Mohammad Yousuf, 13.2 ov), 5-68 (Mohammad Hafeez, 20.6 ov), 6-98 (Abdul Razzaq, 26.6 ov), 7-103 (Inzamam-ul-Haq, 29.1 ov), 8-115 (Azhar Mahmood, 31.4 ov), 9-161 (Naved-ul-Hasan, 38.2 ov), 10-163 (Shahid Afridi, 39.2 ov)","Fall of wickets: 1-79 (Matthew Hayden, 17.3 ov)",Australian Tri Series (CB Series),"Australia , elected to field first",ODI no. 2209,2004/05
1393,Zimbabwe,Bangladesh,237/5,206 (47.1/50 ov),Zimbabwe won by 31 runs,"Fall of wickets: 1-0 (Stuart Matsikenyeri, 0.1 ov), 2-86 (Dion Ebrahim, 22.6 ov), 3-90 (Hamilton Masakadza, 23.6 ov), 4-99 (Barney Rogers, 25.5 ov), 5-153 (Brendan Taylor, 40.5 ov)","Fall of wickets: 1-13 (Rajin Saleh, 3.3 ov), 2-40 (Aftab Ahmed, 10.1 ov), 3-130 (Habibul Bashar, 29.5 ov), 4-130 (Nafees Iqbal, 29.6 ov), 5-160 (Manzarul Islam, 37.6 ov), 6-161 (Khaled Mahmud, 39.2 ov), 7-165 (Mohammad Ashraful, 40.3 ov), 8-192 (Mashrafe Mortaza, 45.1 ov), 9-205 (Tapash Baisya, 46.6 ov), 10-206 (Enamul Haque jnr, 47.1 ov)",Zimbabwe tour of Bangladesh 2004/05,"Zimbabwe , elected to bat first",ODI no. 2210,2004/05
1394,Bangladesh,Zimbabwe,244/9,204 (47.5/50 ov),Bangladesh won by 40 runs,"Fall of wickets: 1-58 (Nafees Iqbal, 11.4 ov), 2-147 (Rajin Saleh, 29.3 ov), 3-147 (Aftab Ahmed, 30.1 ov), 4-164 (Mohammad Ashraful, 33.3 ov), 5-178 (Manzarul Islam, 38.5 ov), 6-206 (Habibul Bashar, 44.2 ov), 7-220 (Mashrafe Mortaza, 45.6 ov), 8-236 (Khaled Mahmud, 48.1 ov), 9-239 (Nazmul Hossain, 49.1 ov)","Fall of wickets: 1-45 (Stuart Matsikenyeri, 12.1 ov), 2-50 (Dion Ebrahim, 13.5 ov), 3-76 (Hamilton Masakadza, 22.3 ov), 4-93 (Barney Rogers, 26.4 ov), 5-133 (Brendan Taylor, 36.1 ov), 6-177 (Elton Chigumbura, 42.3 ov), 7-181 (Tatenda Taibu, 43.4 ov), 8-185 (Prosper Utseya, 44.3 ov), 9-198 (Tinashe Panyangara, 46.4 ov), 10-204 (Douglas Hondo, 47.5 ov)",Zimbabwe tour of Bangladesh 2004/05,"Bangladesh , elected to bat first",ODI no. 2211,2004/05
1395,Australia,West Indies,269/8,196 (44.5/50 ov),Australia won by 73 runs,"Fall of wickets: 1-24 (Matthew Hayden, 2.4 ov), 2-24 (Ricky Ponting, 2.6 ov), 3-34 (Michael Clarke, 6.1 ov), 4-38 (Darren Lehmann, 8.1 ov), 5-85 (Andrew Symonds, 18.1 ov), 6-167 (Brad Haddin, 32.4 ov), 7-182 (Brad Hogg, 34.5 ov), 8-196 (Simon Katich, 38.2 ov)","Fall of wickets: 1-1 (Wavell Hinds, 0.6 ov), 2-3 (Chris Gayle, 2.1 ov), 3-95 (Ramnaresh Sarwan, 24.1 ov), 4-110 (Shivnarine Chanderpaul, 28.5 ov), 5-147 (Marlon Samuels, 35.1 ov), 6-153 (Brian Lara, 36.2 ov), 7-153 (Courtney Browne, 36.3 ov), 8-185 (Dwayne Bravo, 41.6 ov), 9-195 (Ian Bradshaw, 44.1 ov), 10-196 (Mervyn Dillon, 44.5 ov)",Australian Tri Series (CB Series),"Australia , elected to bat first",ODI no. 2212,2004/05
